size sR   dR   sW   dW
4K   1.31 1.4  2.04 2.32
512K 1.94 3.28 2.43 2.84
5M   1.9  3.4  2.06 2.49
40M  2.62 4.65 2.22 2.97
Mean 1.83 2.62 2.18 2.63
