size uF2FSr uF2FSw sF2FSr sF2FSw dExt4r dExt4w
4K   0.9    1.17   1.3    1.07   3.27   1.88
512K 1.01   1.92   3.38   0.9    1.89   1.62
5M   0.99   2.02   4.23   0.86   1.93   2.96
40M  1.0    2.66   5.56   0.89   1.99   2.91
Mean 0.97   1.78   2.7    0.92   2.16   2.18
