size NILFS F2FS Ext4OJ Ext4FJ
4K   2.87  0.88 10.3   7.95
512K 0.88  0.86 4.46   2.97
5M   0.89  0.83 2.71   2.49
40M  0.85  0.75 3.57   3.6
