size NILFS F2FS Ext4OJ Ext4FJ
4K   2.38  0.84 8.09   14.5
512K 0.89  0.87 5.26   2.9
5M   0.88  0.83 2.42   2.49
40M  0.85  0.75 3.60   3.62
