size NILFS F2FS Ext4OJ Ext4FJ
4K   1.12  0.94 1.04   0.97
512K 0.66  0.59 0.59   0.56
5M   0.57  0.56 0.55   0.55
40M  0.59  0.56 0.55   0.56
